claim_id,claim_statement,evidence_state,configuration_scope,evidence_ids,boundary
CLM-001,"The Dynon SkyView prototype was installed and operated in flight.","Observed","CFG-D1;CFG-D2","E-01;E-02;E-04;E-15","Does not imply every later Dynon state was identical"
CLM-002,"A display internal-voltage/power-related discrepancy was observed after two early sorties.","Observed","CFG-D1","E-02","Connector/pin troubleshooting detail withheld"
CLM-003,"Replacement displays plus required settings/databases were integrated before the aircraft returned to flight.","Observed / reverified","CFG-D2","E-04;E-05","Exact private software/data versions not public"
CLM-004,"Garmin G3X material in the period comparison deck is trade-study evidence, not the G900X/G950 aircraft configuration.","Documented / configuration rule","CMP-G3X","E-08","No installed G3X verification is inferred from the deck"
CLM-005,"Garmin G900X/G950 OEM material supports generic modular architecture understanding but not the exact Super Mushshak wiring or LRU baseline.","Documented / boundary","CFG-G1","E-09;E-10","Detailed aircraft-installed Garmin baseline is not published"
CLM-006,"The Dynon evaluation record documents repeated customer-evaluation sorties including night operation.","Observed validation context","CFG-D3","E-07","Does not establish certification"
CLM-007,"ADAHRS compare/attitude-recovery behaviour was observed during high-rate manoeuvre or spin-recovery evaluation and received an OEM functional explanation.","Observed / characterised","CFG-D3","E-06","Detailed programme closure record not published"
CLM-008,"CHT/EGT indication fluctuation was observed in association with radio PTT operation and raised with the OEM.","Observed","CFG-D3","E-06","Detailed corrective-action closure record not published"
CLM-009,"The retrofit engineering problem included sensing, electrical/mechanical installation and cabling in addition to displays; executed scope included sensor-suite replacement and a complete modification wiring-harness change.","Programme-lead scope statement","Baseline / programme","E-23;E-24","Period design evidence and programme-lead executed-scope statement are kept distinct"
CLM-010,"Later public reporting documents four new-customer contracts in 2016-2017 totalling 80 aircraft, with exported glass-cockpit configurations independently reported for Nigeria, Qatar and Türkiye.","Public programme documented","Later programme","E-16","Product-line scale context; later customer configurations remained configuration controlled"
CLM-011,"The programme lead identifies his role in the retrofit as Lead Systems Engineer, with aircraft-level systems integration, prototype test/troubleshooting, OEM technical coordination and customer-evaluation support.","Programme-lead role statement","Programme","E-25","Role scope is cross-linked to project evidence; controlled organisational material is outside public release"
CLM-012,"Two public 2016 programme-value anchors — US$10.2M for 10 Nigerian aircraft and around US$50M for 52 Türkiye aircraft — imply roughly US$0.96M–1.02M per aircraft. Applied as a transparent scale benchmark to the 80-aircraft 2016–2017 sequence, this gives approximately US$76.9M–81.6M aircraft-equivalent value, with a weighted benchmark of about US$77.7M.","Public programme documented / derived scale benchmark","Later programme","E-16;E-17;E-18","Order-of-magnitude product-line context only; not summed contract revenue, profit, or undisclosed support value"
