evidence_id,evidence_class,period_or_source,configuration_scope,public_use,release_status
E-01,Direct project,"Original Dynon prototype cockpit photograph",CFG-D1,"Installed cockpit/configuration context visible in image","Published sanitized"
E-02,Direct project,"Nov 2010 installed-aircraft troubleshooting exchange",CFG-D1,"Early sorties and later display/power discrepancy","Summary only"
E-03,Direct project/OEM exchange,"Dec 2010 Dynon engineering follow-up",CFG-D2,"Interface, qualification and configuration-support topics","Summary only"
E-04,Direct project/OEM exchange,"Dec 2010 replacement-display / first-sortie correspondence",CFG-D2,"Replacement/reconfiguration, data/settings restoration and return to flight","Summary only"
E-05,Direct project/OEM exchange,"Dec 2010 interface/support exchanges",CFG-D2,"Retained NAV/transponder/audio/configuration/maintainability topics","Abstracted summary only"
E-06,Direct project/OEM exchange,"2012 performance-test / ADAHRS / EMS exchanges",CFG-D3,"Performance-test context and two configuration-specific observations","Summary only; final closure not inferred"
E-07,Direct project,"Nov 2012 customer-evaluation status",CFG-D3,"Repeated evaluation sorties including night operation","Aggregate facts only"
E-08,Direct project,"2012 Dynon-vs-Garmin comparison presentation",CMP-G3X,"Trade criteria and G3X candidate identity","Safe qualitative findings"
E-09,OEM/reference,"Garmin G900X/G950 installation/maintenance manual excerpt",CFG-G1 reference,"Generic functions/LRU/network architecture","OEM summary only"
E-10,Project/vendor presentation,"G950 customer-focused technical presentation",CFG-G1,"G950 architecture/evaluation concepts","Summary only"
E-11,Direct project,"2013 G900X configuration-mode correspondence",CFG-G1,"G900X identity and configuration-control discussion","Claim summary only"
E-12,Direct project,"2014 Dynon equipment/package follow-up","Dynon follow-on","Continued equipment/configuration definition","Claim summary only"
E-13,Direct project,"Original customer-evaluation ground photograph",CFG-D3 context,"Customer/field context","Published sanitized"
E-14,Direct project,"Original public-event programme photograph","Programme context","Context only","Not required for technical claims"
E-15,Direct project,"Original in-flight Dynon display photograph","Dynon installed aircraft","Visible installed display operation","Published sanitized"
E-16,Public programme,"Public 2016-2017 programme reporting","Later programme","Contract quantities and Nigeria glass-cockpit delivery","Public links"
E-17,Public programme,"Public Nigeria commercial estimate","Later programme","Historical context only; not in technical traceability","Inactive in technical narrative"
E-18,Public programme,"Public Türkiye commercial estimate","Later programme","Historical context only; not in technical traceability","Inactive in technical narrative"
E-19,Direct project,"Original test-engineer in-flight photograph","Flight/test context","Participation context","Release candidate"
E-20,Direct project,"Original cockpit-in-flight project photograph","Dynon flight/test context","Visible configuration/test context where applicable","Release candidate"
E-21,Direct project,"Original aerial test-flight photograph","Flight/test context","Period flight context only","Release candidate"
E-22,Retired,"External operator-image reference",None,"No current technical claim","Retired; not embedded"
E-23,Direct project security-marked source,"Period first-modification completion report","Baseline / architecture","High-level system-boundary, electrical/mechanical/cabling and option-analysis facts","Source not published; controlled detail withheld"
